gender,n,r,p,mean_slope,sd_slope
male,27,-0.10191720203967361,0.6129697364175581,-41.86436182103356,72.17635437088852
female,44,0.27851219935132826,0.06715037672719631,-23.50267499843267,101.6356185375883
