fold,model,R2,RMSE,MAE
1,rf,-0.12205279225836074,12.783668503006059,10.42853673066979
2,rf,-0.3093172578580319,11.570503748264294,9.721879477304356
3,rf,-0.2281254776827082,12.361644560302976,10.31513653063215
4,ridge,-0.09455092623138639,11.187383203193443,9.028558708119897
5,rf,-0.16902019422754733,12.089827531922035,10.3133616056067
