feature,importance_mean,importance_std
stroop_effect,0.12368340948089757,0.008007777830991466
stroop_accuracy,0.014891100098825138,0.002773702516516345
mrt_incong,0.03446552742693553,0.004431751359604862
mrt_cong,0.024491485098483517,0.003446745732445577
mrt_total,0.026520418847348067,0.0032812742259136695
prp_bottleneck,0.11683754817161467,0.010708895311952035
prp_rt_slope,0.12459239689072237,0.012378513251982127
prp_mrt_t1,0.07311502232691075,0.009689164087663512
prp_mrt_t2,0.05609943561600973,0.007099400582753783
prp_acc_t1,0.054584882124045046,0.006675824180996654
prp_acc_t2,0.031161448831888334,0.00452174638316992
wcst_total_errors,0.038155751792963453,0.0034295421034471387
wcst_persev_errors,0.03602367766574491,0.004541357409928365
wcst_nonpersev_errors,0.023305361660686943,0.0030513515875399467
wcst_conceptual_pct,0.08517900220642012,0.0098100773333642
wcst_persev_resp_pct,0.051238361253443526,0.005239725057904424
wcst_failure_to_maintain_set,0.010026494238102004,0.0023266410456762956
