feature,importance_mean,importance_std
stroop_effect,0.03954529855868222,0.007016678721996395
stroop_accuracy,0.0,0.0
mrt_incong,0.00931708991077558,0.0022745914975661184
mrt_cong,3.0885380919696285e-05,6.59209770497511e-05
mrt_total,0.0007172271791351803,0.00026953665704678895
prp_bottleneck,0.0,0.0
prp_rt_slope,0.00010981468771447566,0.00016727601382228222
prp_mrt_t1,0.014612216884008242,0.005312431829347258
prp_mrt_t2,0.00017844886753602297,0.00015711081869950524
prp_acc_t1,0.0027144818119423397,0.0014085441088519625
prp_acc_t2,0.001218256691832489,0.0008358518846134944
wcst_total_errors,6.86341798215473e-05,0.0001329095177147289
wcst_persev_errors,0.005531914893617043,0.003190116382777863
wcst_nonpersev_errors,0.0,0.0
wcst_conceptual_pct,2.0590253946464186e-05,7.392127394830752e-05
wcst_persev_resp_pct,0.0001269732326698625,0.00019656833893780213
wcst_failure_to_maintain_set,0.0,0.0
