,perseverative_error_rate,prp_bottleneck,stroop_interference
perseverative_error_rate,1.0,0.09715102104319671,-0.01298075812670356
prp_bottleneck,0.09715102104319671,1.0,0.09796164463257967
stroop_interference,-0.01298075812670356,0.09796164463257967,1.0
