term,sum_sq,df,F,PR(>F),metric
C(gender_male),10.996916120724773,1.0,0.5066631383139876,0.4790954544569438,wcst_pe_rate
C(loneliness_group),25.890451669522786,2.0,0.5964280054171444,0.5537165940956246,wcst_pe_rate
C(gender_male):C(loneliness_group),47.96168004576307,2.0,1.1048740876090317,0.33730062800246546,wcst_pe_rate
Residual,1432.5029967308317,66.0,,,wcst_pe_rate
C(gender_male),35.26821396731224,1.0,0.4718983331107139,0.4945218578130821,wcst_accuracy
C(loneliness_group),122.72404399743563,2.0,0.821040609664438,0.44441646606856733,wcst_accuracy
C(gender_male):C(loneliness_group),95.38991993896914,2.0,0.6381715878281331,0.5314855043683675,wcst_accuracy
Residual,4932.634761599162,66.0,,,wcst_accuracy
C(gender_male),4.5515459054145147e-11,1.0,4.537447097326563e-10,0.9999830683942873,wcst_rt_cv
C(loneliness_group),0.15796820657144775,2.0,0.7873944317740778,0.45925602000711907,wcst_rt_cv
C(gender_male):C(loneliness_group),0.09470999596558419,2.0,0.47208311770582195,0.6257913465017598,wcst_rt_cv
Residual,6.6205075963167275,66.0,,,wcst_rt_cv
C(gender_male),9248.686957252432,1.0,0.9104328386629817,0.3434813241577487,stroop_interference
C(loneliness_group),2250.0365440672863,2.0,0.11074583707821743,0.8953322290898409,stroop_interference
C(gender_male):C(loneliness_group),10684.053989428321,2.0,0.5258645712079263,0.5934996496586291,stroop_interference
Residual,670464.9846276244,66.0,,,stroop_interference
C(gender_male),191136.5653632635,1.0,10.564027287109075,0.0018166390967528276,prp_bottleneck
C(loneliness_group),91331.6490832243,2.0,2.52392845727386,0.08785519624475478,prp_bottleneck
C(gender_male):C(loneliness_group),73330.69835728765,2.0,2.0264764540391877,0.1399191424362544,prp_bottleneck
Residual,1194148.1190008915,66.0,,,prp_bottleneck
C(gender_male),98224.82481159961,1.0,1.7181103307016437,0.19454882598983306,prp_t1_slowing
C(loneliness_group),109600.49199144596,2.0,0.9585445324115692,0.3888035939680349,prp_t1_slowing
C(gender_male):C(loneliness_group),10302.988107318173,2.0,0.09010792504966167,0.9139465019492412,prp_t1_slowing
Residual,3716067.297113928,65.0,,,prp_t1_slowing
