,mean,sd,hdi_3%,hdi_97%
alpha,10.608,0.55,9.332,11.372
beta_ucla,-1.098,0.711,-2.473,0.157
beta_gender,-0.384,1.038,-2.011,1.491
beta_inter,1.75,1.041,-0.342,3.448
sigma,4.607,0.369,3.931,5.255
