participant_id,post_error_rt_mean,post_error_trial_count,post_shift_error_rt_mean,post_shift_error_trial_count
PXesLO51qlY7lJBrLdOAZiHmUR72,3806.0281250000844,69,,0
PkpTH7pWpEOG9A86xSloOSozwTk2,2838.7937499806285,66,2159.2468749806285,32
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,1829.6299999993294,10,1947.0999999990065,9
QbOEVCaZLUMOgltUdXm58oZOALv2,2601.15416666617,24,2805.1250000037253,16
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,4020.171428510121,8,4020.171428510121,7
QreA2rLiUhV3YHeMfuHMPdGbpJ53,1613.0095238231477,21,1641.9636363983154,11
Rc706mP0TSeIoIpMYH1SpRXjOxA2,5423.900000572205,1,5423.900000572205,1
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,4504.590909090909,11,4969.125000029802,8
Ru3Qf6pXZua1DfNkQdhbor6iJ403,3622.1692307691733,13,3704.281818181742,11
SOhR7IO689NQCPQu56SjATO8FR92,1908.7730769229909,26,1885.386363636279,22
SPCT9D90pRa1ihXS5jEw6vCmquI3,3010.5242424264097,33,1259.0500000044703,12
SpSfX0ZcfcPLdlOENlfdfvEPwru2,2197.111111111072,9,2258.6249999999563,8
SvtOrPatsnWjicxtyndEzSdO5Wp1,2767.9235294075575,17,3273.77272726189,11
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,2709.836363637989,11,2255.2500000037253,8
UK6MLdHbCaS4xIz2f3vGdpkbBzG3,1227.6818181872368,11,,0
Ub7nV8F55kPruh35ZpUcKoBUyn63,2251.449999998723,14,2147.018181817098,11
UbqFccqQZZgcqJIqCn3ErH9zQdM2,1725.169999998808,20,1631.8777777618832,9
UbwuSMtBsHdW3Ji41opk3GInMqi2,1344.18888888922,9,1366.1333333334576,6
VwTymW8T68MfpnJvZ2X97ILqDWS2,1851.2846153836983,13,1833.1499999940395,10
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,2733.714285714286,7,2346.0,4
WbOfW9KmUkPQK8o5hlHJnJFdpp92,2106.5470588224775,17,2179.5666666643488,9
WcTsIpSoEhYeIBSNjAbbdaNSBya2,1959.345000001043,20,1845.1000000001752,17
WeHQDy9BWldTlaQDVVlsJNCqwxA2,1682.8846153845975,26,1596.5555555555297,18
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,2458.491666674614,12,1640.7777778307598,9
WnC6Uscb5VMIr43GASKiUCO3AYH2,2537.6909090903673,11,1670.8500000039737,6
WqoZv41KTtTCuPKBPyClregrKAi1,1951.3571428571595,14,1875.0000000000775,3
XbHvBButpZS4bapbJXJLAYcHnn12,2618.0854166666445,48,2304.279999999958,20
XehZHBpwr5MYzUXkj0FAYCsFG922,1796.3903225799722,31,1585.3749999996276,20
YEU5ox3jteVINfdSTg5ymqYcS9o2,3592.4285714370862,7,2662.0750000178814,4
Yco8O7tmHlbsUBfKW2ywcZByGO32,2830.066666662693,3,2830.066666662693,3
YzmMCD3ZmzbWlV4pTQ6hvDdnuMk2,2041.8055555522442,18,1874.0071428545884,14
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,2017.8777777883743,9,2027.9333333174388,6
ZEd5KGl23wS7rvzDkxzgqmCgLaC3,2190.918181863698,11,2039.4444444841808,9
aM2995jJmJWvr6cneaGH58HauIg2,1385.778571431126,14,1366.9727272770622,11
afdTz6deeYWf1qKNdUpKAYKN3hz1,3589.3311111102503,46,3143.305882353993,17
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,1206.125,24,1285.7384615402955,13
asKxydfXDkZAk89VaD4hwVovkzJ3,2061.199999999255,11,1814.949999999255,8
azdL1gX79EVd9iepyCAVQrqIaQF3,2164.2250000000545,12,2150.9000000000465,10
bXpFswkI7TfIfL6G4FqWrbaxTGx2,1294.973333333355,15,1302.1285714285914,7
biQ16yPcCKSkJQhSxUKcDc8gm8I2,1668.729032262679,31,1645.039999961853,10
btpcu1rB1JeSTo2upeHGPdv8kYG3,3141.4666666852104,9,2990.362500011921,8
c0hRe9PCPPZs3HWFqhIQargNlp52,2203.5769230035635,13,2266.416666587194,12
c8BtRUVPPPZHjyhX2rn702NoUld2,1712.2473684266995,19,1135.5625000074506,8
cC0BEsQjfrcuCyoaOas9zJT0MNs2,1253.7228571278708,35,1275.606249988079,32
cEIs6U87xfbSL5eFTXDK77MmvNf1,2642.9250000715256,16,1668.7600001335145,5
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,1969.5529411759446,17,3386.859999999404,5
cec6NLR2ZLVVw6h0TEKSNIH11v02,1470.1921568627415,51,,0
cfoKz0AGhvYmW0DJmVKAZ01jh752,1244.2636363397944,11,1310.3199999809265,10
d9rwc0NXArcNlJvFsgKhQqkGxJq2,2768.933333337307,12,2994.577777783076,9
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,5734.679999995232,11,5261.222222222223,9
e7NIVznoeNMC7bBejXnMVvFNPfx1,3198.3615384789614,15,3169.066666687528,12
fEL2NrgSd4MmDtLCAcMvCJQXTME2,2027.1499999997516,12,2069.011111110449,9
fEq0OghbLpfD1jigl1Mbz96aMbg2,2091.123809521397,21,2091.123809521397,21
foaW7wtvY3XLNdguFUK7OvOefP93,2243.933333333297,9,2159.3428571428108,7
g2G9l3no7RbeRA9a1W3JnfegTnh2,2000.0863636298614,22,1803.891666650772,12
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,3814.875,8,3356.0000000000387,6
h52Mz0cZjnOsmXT02EgU3JzzRKs2,1921.5,6,3140.5,1
h5RYP03wJuVN0xo7qAR8CKFxLaj1,2208.3568181734195,44,2451.5333333293597,15
hOrA1ssI5vaeeeXRJhtjrGrqHQn1,2196.29999999998,7,2369.699999999992,6
hrRr560eFBNwJ0CcUjCqtSD8TdP2,1575.2000000001146,13,1518.6000000000931,8
htPWXDgfuheOJbl6ihHore9XuDp2,2079.8750003178916,12,2151.1000003814697,5
i1bdbtLuM9UR71xKs8yOhuCwJ9o1,3042.5900000095367,10,3042.5900000095367,10
i1tBstVkNiVP0qro7TgGD08IGGa2,2730.0727272683926,11,2671.15,10
iKVZi0Oo96UrMBhPQMHWFcf55uA3,2388.499999999942,8,2281.166666666589,6
iWsc4pghIEWOQUZKuQJMfe516UI3,2533.700000004335,11,2496.699999998013,6
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,3844.6222222182487,42,3922.242857136045,35
iZX3U88SSqYAtT564nBPgHUBsei1,1373.619047623305,21,1343.8470588291393,17
idP8RVfm74N86O0dszLXANIpjXv2,2348.311111112436,9,2568.1857142874173,7
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,3483.874999999971,16,3378.2666666666355,15
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,3448.8499999940395,4,3485.3666666547456,3
jzdk8E3tVXTXIozlfK5oeEb7wWp2,1305.8125,8,1348.0714285714287,7
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,2557.527272744612,11,3044.9285712923324,7
kI0YdycDU0X5hcoEPjEON3Ionyd2,2328.6928571292333,15,2182.2499999821184,10
kR2rCtaPyPaj7YMizKUDn5xL2qx1,1870.8785714285416,14,1886.3636363636151,11
kgSRatooJJfDaMZ2yIURqb8aJuE3,1854.25,6,1627.675000000745,4
kxerHPSL3bQjD74HhiebYf3blPr1,535.8181818182136,44,429.44736842108324,38
lHDkoPQu5reNCO45npeYSS9eLQl1,2259.4800000190735,35,1871.3428571564812,21
lpzDdvuMkKWkPxu6xeclmdctEp42,2026.0076922820165,13,1861.9399999618531,10
m69r9GQTk2b51mvxrFLt4fZeJi52,2289.090909090888,11,2151.499999999971,8
mUZzgdWKnPb2txOkJg9FHgqX5792,2191.5800000047684,25,2109.4647058879627,17
mYRMPGfR5gRSjnp7ojjD5sXo7Jr2,3578.8299999833107,10,3578.8299999833107,10
mg2WZiRBn4NQDKiMK43Y8dBqyG53,1347.0312500000073,32,1051.6000000000233,10
mweMgSlGM2VxThhwnupYxYzUbR23,1346.209090909074,11,1357.239999999944,5
mwsliuPsLFhRFjtjQwYkqcCRDvi2,2747.729999923706,10,2643.287499964237,8
nHy6rdfyacWW9BnyDb1dNvNYWfh1,2068.6740740743226,28,2119.112000000328,25
nT1qJOiMyDdJ9ui4el195A8Hsgs1,5252.512499988079,9,6692.699999988079,4
o4jXmZcjtMVF2ZInToRpVHUhpdV2,3191.7000000476837,5,1310.1000001430511,1
ohl9pXqpeSMfepC3w9h0tW5SbJw1,2874.6636363636617,11,2134.287500000093,8
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,2397.86666666662,15,2511.4285714285215,14
pRQimOpZtsekBI2I1kbnD3pycmo1,2804.64615382598,13,2546.4874999672174,8
pYrcE6tMnVQP1kHAjYwvIz5NOvn1,990.8999999999651,16,1018.6428571428239,14
pcbRW89vVJcviD87V3uxyG4I9st2,2762.45000000007,4,3305.533333333364,3
q0Atnpm0jZS5swcVmq0EMalQUKw1,2576.8000000000116,10,2070.5714285714453,7
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,1487.8828125,64,904.1666666467985,3
qnR5PLX1v3fPi6SwTJMwGcadwyD3,1392.4214285739831,14,1393.241666669647,12
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,3919.088888888946,9,4926.483333333395,6
rFV2EUbp64f5ORSh7DqwmCQmeqT2,3236.526666669051,16,3103.719999998808,5
rNe3cRPepZUXbJhmmfQZiGsVzX22,2162.6851851884967,27,1696.3187500052154,16
rUuJv5gl7dWVo7UPQWMx4bohxhK2,3117.4866666666853,15,3606.411111111158,9
roaf78tUWxWSEjAUcUu8O7mrQbl1,2922.6363636363635,12,3006.6333333386315,9
s48aCkolCSNbBRSSRPle0r61a7H2,1542.4999999999775,67,1399.0892857142608,56
s5gTyWKzfkdHXNT3qicwPmdONYv1,2011.188888888806,9,1639.0333333332092,3
sqfXvh6GJLaYAqr3RvHrixP8IOx1,4004.7700000286104,10,4369.462500035763,8
ssPK6ISW0HerTGke9hznqJ2LpKu1,1600.1461538901697,13,1722.7272727272727,11
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,2102.2310344844027,31,2167.119230765563,26
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,2208.7333335876465,6,2208.7333335876465,6
tv88wS5Nf6SjruozSmXJxQSmx6J3,3098.849999989782,14,2269.627272714268,11
u64Uf920g5VD9Byq26LT2rs5o4t1,2125.464705898481,17,2189.150000023842,10
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,3295.109090908007,13,2806.12222222156,9
v8nNKiWvPdcjiHXZci39OuFTY6M2,4888.53333333383,13,4957.480000001192,10
wdppvL4tIkVlGjou6aYzzjlaZXB2,1425.2362318846626,69,1633.086206897194,29
wkhxvE50megJGMA1EiROSZIJWNq1,2922.4181818183174,22,2957.010000000149,20
xBGZhFOeypWnqzSQClkrwV9z2vF3,1861.442857142887,14,1882.3153846154096,13
xFaL2YdAmJcWA8oTLXhVCHNqt0K3,1357.3789473684308,19,1256.2714285714485,14
xHctBv4C2EU8rHYRouw0btT3GT02,2105.839999999944,20,1897.8666666666202,18
xyAILKfYP2M8GqAai11x6NT7IcP2,2692.446153846068,13,2277.9199999999255,10
y1EHXv8tUTa4BRS4fRio7bULYfA2,2314.4166666467986,24,1945.7578947167647,19
yGTid3RXTdQe5JNosdSxvgktWIW2,3516.409090919928,11,3008.2625000029802,8
yatBVTBMCSMp0wJluOCLzTFKMyP2,2764.166666666822,24,2500.8333333337473,18
yfjd8LbAMrYeG54927d3GiKAyXI2,2600.821428571437,14,2606.410000000021,10
zw1w9FipI9RjJsuhHse6UZavBxs2,1551.588235294104,17,1615.7,10
zxG9mUnF7uRkaOKSoCPsiRZzr372,3399.6111111243567,18,3897.7300000071527,10
