stratification,group,n,r,p
Stress,Low Stress,26,,
Stress,High Stress,22,0.11309819262534258,0.6162828466424142
Anxiety,Low Anxiety,25,0.3269841092744877,0.11061556738006416
Anxiety,High Anxiety,23,,
