outcome,beta_main,p_main,beta_interaction,se_interaction,p_interaction,r_squared,n,beta_female,p_female,n_female,beta_male,p_male,n_male
pe_rate,-0.3581977510396912,0.5887275419317548,0.5292858247523304,0.7028285390638238,0.4514020911545765,0.022771605147232865,193,-0.275600015468766,0.7206675884637637,116,0.21785690644779682,0.8138034845177244,77
stroop_interference,4.605752452626468,0.7101398543094408,6.963828764077886,14.84395752557226,0.6389727216112571,0.0276641035379801,193,3.590566953071514,0.7922722786084389,116,13.879828452472704,0.44831569773854285,77
prp_bottleneck,12.133097718048905,0.48190212130167986,30.657187722981597,20.246749820515866,0.12998064263820383,0.1369270417748446,187,13.980311803743591,0.4779457360953506,111,30.428413028755745,0.1651280647683171,76
