outcome,outcome_label,model,model_label,n,ucla_beta,ucla_se,ucla_p,interaction_beta,interaction_p,r_squared,adj_r_squared
pe_rate,WCST PE Rate,model0,UCLA only,170,-0.9060054316250491,0.4634132150911642,0.05057476859913294,0.6871602554662306,0.267674549032185,0.02876764457565839,0.005222617777492555
pe_rate,WCST PE Rate,model1_dep,+ Depression,170,-0.4420200028976452,0.6773600347930656,0.5140381343803917,0.6646387941037596,0.29479579303051306,0.03881160510028614,0.009507080865538753
pe_rate,WCST PE Rate,model1_anx,+ Anxiety,170,-0.7745265641740974,0.5416763043594659,0.15275440428282608,0.6902405492329283,0.27393826859081094,0.031131278328929035,0.0015925977901768418
pe_rate,WCST PE Rate,model1_str,+ Stress,170,-0.8064685755081415,0.5178088655737769,0.11936040328715684,0.7241974730718428,0.253509195877304,0.03017865906975059,0.0006109352609015017
pe_rate,WCST PE Rate,model2_dep_anx,+ Dep + Anx,170,-0.4394617783301763,0.6884974867011732,0.5232842420453983,0.6653280304815331,0.2988305406551963,0.03882550475748703,0.003444848490891439
pe_rate,WCST PE Rate,model2_dep_str,+ Dep + Str,170,-0.4477974935404875,0.6765570470234064,0.5080501052876805,0.6515911746987598,0.32465772000216286,0.038923272890040495,0.0035462154504101173
pe_rate,WCST PE Rate,model2_anx_str,+ Anx + Str,170,-0.7664075443995839,0.541691332061323,0.15711488253961778,0.6991957509776539,0.2853576564258613,0.03118167239429903,-0.004480351934745164
pe_rate,WCST PE Rate,model3_full,Full Model,170,-0.44236452827299183,0.6887898641290026,0.5207210163742604,0.6439708831579544,0.3399023870784955,0.03906588443860959,-0.002455960060956608
wcst_accuracy,WCST Accuracy,model0,UCLA only,170,1.2698255363336415,0.8547693827864484,0.13739110405854732,-0.9445129816412976,0.4056283651180045,0.03417561380574263,0.010761689291942544
wcst_accuracy,WCST Accuracy,model1_dep,+ Depression,170,1.229237155615384,1.1968051616651882,0.3043739396512909,-0.9425428558754083,0.4099529031083451,0.03419719377182717,0.004751986264870611
wcst_accuracy,WCST Accuracy,model1_anx,+ Anxiety,170,1.1591051217965713,0.9492215328365807,0.22204388905198358,-0.9471069452899723,0.4145308392465302,0.03464623845972392,0.005214721339593553
wcst_accuracy,WCST Accuracy,model1_str,+ Stress,170,1.1164098405588831,0.9350009003992829,0.23247011733065892,-1.0015982737651088,0.4012963732129786,0.03511675377511936,0.005699581634116879
wcst_accuracy,WCST Accuracy,model2_dep_anx,+ Dep + Anx,170,1.2007923589485505,1.2434891604627565,0.33421248303458884,-0.950206447598553,0.415760087427111,0.0346796783318154,-0.0008535850424735703
