outcome,outcome_label,model,model_label,n,ucla_beta,ucla_se,ucla_p,interaction_beta,interaction_p,r_squared,adj_r_squared
wcst_accuracy,WCST Accuracy,model2_dep_str,+ Dep + Str,170,1.1959570453232828,1.216499142831034,0.32555145320756806,-1.0177011278123134,0.3907991068230503,0.035237520906292286,-0.0002752083855006582
wcst_accuracy,WCST Accuracy,model2_anx_str,+ Anx + Str,170,1.112125827766867,0.9771613609115377,0.2550708309083045,-0.9989246606725177,0.39954694573741456,0.03511997421330648,-0.00039708195062093665
wcst_accuracy,WCST Accuracy,model3_full,Full Model,170,1.1923134374115023,1.2522774550225093,0.34103814083254225,-1.0125905936598567,0.3943459772733099,0.035255530134654434,-0.0064309593039715285
stroop_interference,Stroop Interference,model0,UCLA only,170,-5.465774836980596,10.225056448728738,0.5929630336796687,11.31156304654462,0.476462082387234,0.021807468658512907,-0.0019062896770383198
stroop_interference,Stroop Interference,model1_dep,+ Depression,170,5.349440018130419,12.953261480454364,0.6796211486399255,10.786601639557565,0.4970376298023895,0.03467821828921014,0.00524767616388111
stroop_interference,Stroop Interference,model1_anx,+ Anxiety,170,-5.306159530869653,10.943255769457174,0.6277618803137688,11.31530252226442,0.48029935034246896,0.021815684547650482,-0.008007007996628568
stroop_interference,Stroop Interference,model1_str,+ Stress,170,-3.2363341033627613,10.960762722440291,0.7677911377070719,12.141127941510065,0.45209180112267844,0.023476992884992387,-0.00629505001485553
stroop_interference,Stroop Interference,model2_dep_anx,+ Dep + Anx,170,4.582775018209297,13.048539437763681,0.7254309532344119,10.580046900684467,0.508998645638669,0.03762247219020298,0.0021975325162226778
stroop_interference,Stroop Interference,model2_dep_str,+ Dep + Str,170,5.193593766954137,13.037965131683944,0.6903767109987518,10.434645626688344,0.518855110178259,0.03486985528958675,-0.0006564077058885953
stroop_interference,Stroop Interference,model2_anx_str,+ Anx + Str,170,-4.080053706840826,11.166035129809668,0.7148138792710759,12.66768560784717,0.43943056126560354,0.024526283918501868,-0.011380724035418233
stroop_interference,Stroop Interference,model3_full,Full Model,170,4.663976135459276,13.071278955819944,0.7212332996645403,11.177488725887887,0.4960795451191289,0.03806612142799659,-0.0034989227078305873
prp_bottleneck,PRP Bottleneck,model0,UCLA only,166,-9.180527069940965,14.313577170333689,0.5212719691258394,39.325389025541355,0.06368911147886461,0.09044742274969386,0.06784984319067999
prp_bottleneck,PRP Bottleneck,model1_dep,+ Depression,166,3.446771874059234,18.526197032059898,0.852406697865498,38.531805681591706,0.06861927678172904,0.09878591640596068,0.070622976293647
prp_bottleneck,PRP Bottleneck,model1_anx,+ Anxiety,166,-7.974570264713852,15.562302771456425,0.6083510231297444,39.32660527467276,0.06708122508411204,0.09067735468942062,0.06226102202346506
prp_bottleneck,PRP Bottleneck,model1_str,+ Stress,166,-5.648483789957897,15.662928083048325,0.7183778718521134,40.64106509241003,0.05995146040847064,0.09255262897054617,0.06419489862587568
prp_bottleneck,PRP Bottleneck,model2_dep_anx,+ Dep + Anx,166,2.8929802305922685,18.63435443287103,0.8766243711983199,38.39803767866803,0.06932459649115341,0.09966015978132792,0.0656850714711894
prp_bottleneck,PRP Bottleneck,model2_dep_str,+ Dep + Str,166,3.4914153182464354,18.7540957091953,0.852312899285888,38.65455671653256,0.07224716265504494,0.0987968453929493,0.06478917918136251
prp_bottleneck,PRP Bottleneck,model2_anx_str,+ Anx + Str,166,-6.419250796695504,15.77369250218949,0.6840378839865424,41.14813378855891,0.06049933998352661,0.0929598318285364,0.0587319009541416
prp_bottleneck,PRP Bottleneck,model3_full,Full Model,166,2.977885014702309,18.732750591999178,0.8736950478430883,39.42501069773584,0.06824628964990341,0.10025786974193518,0.06039587662923607
