outcome,female_beta,female_pval,female_n,male_beta,male_pval,male_n,interaction_beta,interaction_pval,perm_pval,boot_ci_lower,boot_ci_upper,boot_pct_positive,total_n
prp_short_t1_acc,0.5839158168945762,0.4473110235033696,56,-1.6464424287357247,0.156740281636654,30,-1.6745200579934534,0.04441030123502544,0.048,-3.5801540035464656,-0.29065839072476324,0.8999999999999999,86
prp_short_t2_acc,-1.6326683640378699,0.0033225186598837,56,-1.4729261705001342,0.23042616602472688,30,0.3676763643690272,0.6170226499640004,0.556,-0.9571762069865507,1.8035797082873177,73.5,86
prp_long_t1_acc,-0.08572141476018125,0.8983073891259169,56,0.07136959215800162,0.9042702080920398,30,0.2662681433549875,0.6797352274882451,0.79,-1.1544394393776123,1.5316483581591944,68.30000000000001,86
prp_long_t2_acc,-0.15528785898978725,0.8671643633760793,56,0.41787145748023274,0.6617344092888977,30,-0.4688388105862408,0.603943087903392,0.603,-2.198423084900173,1.2745158140167105,28.7,86
prp_t1_slowing,-10.84576162915744,0.8423728575970205,56,102.10455801685363,0.14434306769913482,30,19.710426017968082,0.728870967258829,0.782,-108.91174769275518,162.46490046729858,62.6,86
prp_bottleneck,4.8244226319983134,0.8816643540577718,56,46.584375776724265,0.18672817924852375,30,55.267138294549866,0.08680428328211492,0.146,-8.421591530208023,125.10422890208513,96.39999999999999,86
prp_slope,-0.001084623582641036,0.9711766393629891,56,-0.043228808835828976,0.21015377047821718,30,-0.04910150573646807,0.10559167293892939,0.175,-0.11823614962012982,0.0070117587014885754,4.9,86
prp_reversal_rate,0.0,,56,0.0,,30,0.0,,1.0,0.0,0.0,0.0,86
prp_t1_t2_corr,0.0015685994282794574,0.9588377651132824,56,0.1031549319829556,0.015408296532156791,30,0.054575723679233655,0.0976680642996074,0.153,-0.011396989145677737,0.12734180039289544,93.89999999999999,86
prp_short_t2_cv,-0.002355062222823945,0.8787649540198347,56,0.035290353040267584,0.09825951312166287,30,0.02958921402272191,0.06503798034700095,0.107,-0.0010887296935307204,0.06304008134816605,97.0,86
prp_long_t2_cv,-0.02747133196116785,0.37189733232847755,56,0.0826502397499812,0.023333061004051265,30,0.06848712513750813,0.025546701148564523,0.048,0.006314547549819006,0.12196370591860005,98.4,86
