outcome,obs_beta,obs_t,posterior_mean,posterior_std,bf10,interpretation
pe_rate,2.1628492261378622,1.924181118920995,-0.010984351747472476,0.8315682659601655,0.2772136054585842,Moderate evidence for null
wcst_accuracy,-3.3596444114863235,-1.606949927749446,-0.0017443005346233864,1.4690628887453105,0.4896879747661561,Inconclusive
