outcome,full_beta,full_p,loo_beta_min,loo_beta_max,loo_beta_range,loo_p_min,loo_p_max,n_loo_significant,pct_loo_significant
pe_rate,1.0192999612980937,0.24584301951703372,0.8345820422879108,1.2745142413018211,0.43993219901391034,0.15547628640449154,0.3361717882688766,0,0.0
wcst_accuracy,-1.33787582446404,0.43861829186077284,-1.8646397723526493,-0.9214577694380868,0.9431820029145626,0.2939989360568112,0.594690462630193,0,0.0
