task,test,beta_interaction,pval_interaction,ci_lower,ci_upper,N,beta_ucla,pval_ucla
wcst,RT ~ UCLA × error_rate,271.82431258737097,0.00011574326680303003,136.37234131226475,407.27628386247716,148,,
wcst,IES ~ UCLA,,,-114.61203399901018,708.308958189295,148,296.84846209514245,0.15599443762994653
