gender,metric,N,r,p
여성,pure_interference,51,-0.08391435593788658,0.5582479269654969
여성,facilitation,51,0.10446882246673327,0.46565866144905405
여성,traditional_interference,51,0.009529028668252634,0.9470870137194898
남성,pure_interference,33,0.17178486946266996,0.33911772507503796
남성,facilitation,33,-0.2561977518357815,0.1501100193006651
남성,traditional_interference,33,0.0043872362781116215,0.9806683126442836
