Class,N,UCLA_beta,UCLA_p,Gender_beta,Gender_p,Interaction_beta,Interaction_p,R_squared,Bonf_Corrected_Alpha,UCLA_Bonf_Sig,UCLA_Orig_Sig,Gender_Bonf_Sig,Gender_Orig_Sig,Interaction_Bonf_Sig,Interaction_Orig_Sig
1,92,7.661500349575984,0.7179307245023162,,,,,0.0342681256654522,0.00033557046979865775,False,False,False,False,False,False
2,50,9.211980887743064,0.7404425472145584,,,,,0.1810683122234339,0.00033557046979865775,False,False,False,False,False,False
