metric,term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
wcst_pe_rate,Intercept,11.617494750334039,1.1647046530010852,9.974627233092384,8.35759173022884e-15,9.292086881563874,13.942902619104204
wcst_pe_rate,C(gender_male)[T.1],-2.9752471295068195,1.9411744216684768,-1.5327046844917405,0.1301283935525601,-6.850926910790431,0.9004326517767915
wcst_pe_rate,C(loneliness_group)[T.mid],-0.2254564439244468,1.674368433975303,-0.13465163302748473,0.8932971097899199,-3.5684408834164394,3.1175279955675457
wcst_pe_rate,C(loneliness_group)[T.high],-2.2094564510690797,1.704953033740883,-1.2959045834953309,0.19952204528791898,-5.613505014220927,1.1945921120827667
wcst_pe_rate,C(gender_male)[T.1]:C(loneliness_group)[T.mid],2.623230711184767,2.6810959480978407,0.9784173196210575,0.33144081249228174,-2.729750062584594,7.976211484954128
wcst_pe_rate,C(gender_male)[T.1]:C(loneliness_group)[T.high],4.215996240128604,2.9015757599896514,1.45300229560218,0.15096134677083187,-1.5771866811612458,10.009179161418453
wcst_accuracy,Intercept,81.15598115197726,2.1612625119253215,37.55026550647053,2.9176978212977705e-46,76.84088132065166,85.47108098330285
wcst_accuracy,C(gender_male)[T.1],4.595816697368061,3.6021041865422054,1.2758700080187735,0.20647351519924198,-2.5960163548412654,11.787649749577387
wcst_accuracy,C(loneliness_group)[T.mid],-0.6057811835704445,3.1070106212570945,-0.19497235684548314,0.8460135467455157,-6.809128039279275,5.597565672138386
wcst_accuracy,C(loneliness_group)[T.high],3.0606350185924587,3.163764364573278,0.9674029623901118,0.3368743213062525,-3.2560243416638164,9.377294378848735
wcst_accuracy,C(gender_male)[T.1]:C(loneliness_group)[T.mid],-4.034225307921634,4.975125795683879,-0.8108790558464846,0.42034962193542635,-13.967384451395873,5.898933835552604
wcst_accuracy,C(gender_male)[T.1]:C(loneliness_group)[T.high],-5.820267039485593,5.384255055063316,-1.080979073235443,0.28364054885693263,-16.570279104989126,4.929745026017942
wcst_rt_cv,Intercept,0.7633137536742348,0.07917966956403409,9.640274553772022,3.216112995590895e-14,0.6052264427182831,0.9214010646301866
wcst_rt_cv,C(gender_male)[T.1],-0.06536148979171133,0.13196611594005692,-0.49528994110427965,0.6220405147501007,-0.32884034138496443,0.19811736180154174
