anxiety_group,gender,n,r,p,beta,beta_p
Low Anxiety,Female,24,-0.37843709143011506,0.0682298654339233,-0.11711335816558462,0.06822986543392336
Low Anxiety,Male,15,0.49416393398424646,0.061156572377960815,0.23023282764971612,0.06115657237796087
High Anxiety,Female,21,-0.2439832464391929,0.2865043963350341,-0.1576799283119255,0.2865043963350346
High Anxiety,Male,12,0.5176663350256292,0.08473881139369707,0.14766838488319198,0.08473881139369685
