path,beta,p,ci_lower,ci_upper,significant
a (UCLA -> DASS),5.2075268667714045,7.109571551185753e-23,,,
b (DASS -> Lapse),-0.24101260632758498,0.16468922127711072,,,
c (Lapse -> PE),0.062628493537873,0.036716811558683615,,,
indirect (a*b*c),-0.07860374603862433,,-0.210129042000817,0.0290000794616222,False
