outcome,term,beta,p,n
mean_lapse_duration,UCLA,0.5322442966082422,0.4375422801230413,171
mean_lapse_duration,UCLA x Male,0.05926066365819363,0.9288806186036733,171
max_lapse_duration,UCLA,0.3609727781621387,0.7270863276552,171
max_lapse_duration,UCLA x Male,0.6309337361058728,0.6500474480223529,171
n_lapse_episodes,UCLA,-0.8572430228063145,0.09396625898209914,171
n_lapse_episodes,UCLA x Male,1.6837070348830951,0.11990538300566186,171
