outcome,term,beta,p,n
rt_diff,UCLA,45.052984595325555,0.42074112918385265,171
rt_diff,UCLA x Male,-136.6669948258019,0.16411054914527123,171
state_changes,UCLA,-1.7652853709373275,0.08315810917877599,171
state_changes,UCLA x Male,3.371613690381724,0.1176463912745289,171
lapse_rt_mean,UCLA,49.475967179217605,0.5015639413247162,171
lapse_rt_mean,UCLA x Male,-129.56688352865686,0.25243567199716754,171
focus_rt_mean,UCLA,4.42298258389211,0.8831389502714057,171
focus_rt_mean,UCLA x Male,7.100111297145034,0.8480834132624073,171
