age,beta,se,p,lower_ci,upper_ci,significant
18,-2.9618714710974725,2.202484032399042,0.17869409169708594,-7.278740174599594,1.3549972324046493,False
19,-2.30764745961891,1.740544914050868,0.18489966898015142,-5.719115491158611,1.1038205719207914,False
20,-1.6534234481403405,1.4511883505615475,0.25455375375675005,-4.497752615240973,1.1909057189602925,False
21,-0.9991994366617827,1.442320701475335,0.4884526292508814,-3.826148011553439,1.8277491382298736,False
22,-0.3449754251832111,1.7182900596594874,0.8408810021649877,-3.7128239421158065,3.0228730917493842,False
23,0.3092485862952419,2.173164236422657,0.8868403876903026,-3.9501533170931653,4.568650489683649,False
24,0.9634725977739391,2.718575953312682,0.7230365767480184,-4.364936270718918,6.291881466266796,False
25,1.6176966092524978,3.3100691798684454,0.6250400279979834,-4.870038983289655,8.10543220179465,False
26,2.2719206207310405,3.9268754860857906,0.5628882429561066,-5.424755331997109,9.968596573459191,False
27,2.9261446322096436,4.558731680747365,0.5209531035506169,-6.008969462055191,11.861258726474478,False
28,3.5803686436881854,5.200154645488868,0.49113044418960194,-6.611934461469996,13.772671748846367,False
29,4.234592655166775,5.847997305323494,0.46899827650696313,-7.2274820632672725,15.696667373600823,False
30,4.888816666645322,6.500340527638819,0.4519991981953483,-7.851850767526763,17.629484100817407,False
31,5.54304067812391,7.155953592190044,0.4385728337826952,-8.482628362568576,19.568709718816397,False
32,6.197264689602509,7.814013501269022,0.4277217561340696,-9.118201772884774,21.512731152089792,False
33,6.8514887010809975,8.47395023165533,0.41878243856574815,-9.757453752963448,23.46043115512544,False
34,7.50571271255963,9.135357048591496,0.41129814774230444,-10.399587102679702,25.41101252779896,False
35,8.159936724038218,9.797936243314275,0.4049451329395136,-11.044018312857762,27.363891760934198,False
36,8.814160735516687,10.461465059778837,0.39948800782355565,-11.690310781649831,29.318632252683205,False
