age,beta,se,p,lower_ci,upper_ci,significant
18,2.8067242965437043,1.198506601654932,0.01918835595017168,0.4576513573000378,5.155797235787371,True
19,1.9087900262609816,0.9367587362807309,0.041584564623655604,0.07274290315074894,3.7448371493712145,True
20,1.010855755978255,0.7883962986319784,0.1997840524103619,-0.5344009893404227,2.5561125012969326,False
21,0.11292148569552835,0.8176634119889735,0.8901592898145151,-1.4896988018028599,1.7155417731939164,False
22,-0.7850127845871968,1.009223030268733,0.43666407805539065,-2.7630899239139133,1.1930643547395199,False
23,-1.6829470548699388,1.2928425009469213,0.1930046835821556,-4.2169183567259045,0.851024246986027,False
24,-2.580881325152648,1.6208964425881922,0.11132730048265499,-5.757838352625505,0.5960757023202086,False
25,-3.478815595435374,1.9713248745059655,0.07761261293129129,-7.342612349467066,0.38498115859631854,False
26,-4.3767498657181,2.334071803095905,0.06077119937333844,-8.951530599786075,0.19803086834987393,False
27,-5.274684136000826,2.7041844502694885,0.051108964080369954,-10.574885658529023,0.02551738652737079,False
28,-6.172618406283559,3.0790077684315387,0.044990559027830564,-12.207473632409375,-0.13776318015774347,True
29,-7.0705526765662805,3.4570098456548677,0.040827273302038135,-13.846291974049821,-0.29481337908273986,True
30,-7.968486946849021,3.837251392045907,0.03783727229796098,-15.489499675258998,-0.44747421843904345,True
31,-8.8664212171317,4.219126966147378,0.0355986381623322,-17.13591007078056,-0.5969323634828392,True
32,-9.764355487414486,4.602229829669187,0.03386650905474103,-18.78472595356609,-0.7439850212628798,True
33,-10.66228975769718,4.986277107384984,0.03249023236469385,-20.435392888171748,-0.8891866272226103,True
34,-11.560224027979903,5.371066217807881,0.031372587768992904,-22.08751381488335,-1.0329342410764557,True
35,-12.458158298262648,5.756448399702151,0.030448301372952756,-23.740797161678863,-1.1755194348464322,True
36,-13.35609256854534,6.142312022251892,0.029672062667968506,-25.39502413215905,-1.3171610049316325,True
