phase,n,r,spearman_brown
exploration,183,0.18619968440222148,0.313943237130527
confirmation,210,0.5954527759500675,0.7464373561235425
exploitation,209,0.7484181611594721,0.8561088849170441
pre_exploitation,210,0.6472116524248048,0.7858269475838959
