mediator,male_indirect,female_indirect,difference,male_significant,female_significant
Depression,-0.29404793010718316,-0.6721246076374857,0.37807667753030255,False,False
Anxiety,-0.18551953921038622,-0.12247659025162913,-0.06304294895875709,False,False
Stress,-0.33139881845443964,-0.0932290692935017,-0.23816974916093792,False,False
