measure,low_mean,low_sd,high_mean,high_sd,t,p,cohens_d,p_fdr
Stroop Interference (ms),134.38035898173356,115.09611876680313,137.6282804773373,112.48969733904333,-0.1398224255141444,0.8890995615390893,0.02853356680326568,0.8890995615390893
WCST PE Rate (%),10.50993319596702,4.616576500605401,9.344684257682525,4.814111645774536,1.20957299313558,0.22949738746831452,-0.24717447897318892,0.6884921624049436
PRP Bottleneck (ms),570.8727845068634,136.10630339148278,590.0777060657404,162.17470679788053,-0.6205836230859598,0.5364792858720495,0.1285242496413572,0.8047189288080743
