task1,task2,partial_r,p,n
pe_rate,stroop_interference,0.09690721548131676,0.21421697552614988,166
pe_rate,prp_bottleneck,0.08064690989481198,0.30165316472922343,166
pe_rate,wcst_accuracy,-0.6308968542660787,8.224585513567301e-20,166
stroop_interference,prp_bottleneck,0.1753854375302183,0.02381154504901666,166
stroop_interference,wcst_accuracy,-0.11154333184286455,0.15250342239954517,166
prp_bottleneck,wcst_accuracy,-0.07361105338576508,0.3459239213261181,166
