model,aic,bic,r_squared,ucla_beta,ucla_p,optimal_ucla_cutoff,roc_auc,sensitivity,specificity
Linear,1048.2169471891013,1067.031737811403,0.027103819020643627,-0.17281396747014527,0.7482044429989412,,,,
Quadratic,1049.370278345269,1071.320867404621,0.031937189926602993,-0.152908361498221,0.7766866613415265,,,,
ROC_optimal,,,,,,27.0,0.45980589635597874,0.9302325581395349,0.10236220472440949
