anxiety_group,n,ucla_beta,ucla_p,interaction_beta,interaction_p
Low Anxiety,103,-0.31984431787558154,0.7544574463611025,-0.19945045265457045,0.8707286518569044
High Anxiety,67,-0.927884367251988,0.42586988719619845,2.219681809511907,0.1129592537831228
