outcome,n,linear_aic,linear_r2,quad_aic,quad_r2,quad_beta,quad_p,best_model
pe_rate,170,1048.2169471891013,0.027103819020643627,1049.370278345269,0.031937189926602993,-0.3350883359426138,0.3683211707223545,Linear
stroop_interference,170,2078.409828944684,0.017098268830477936,2080.2878167656168,0.017803462687907223,-2.635541726522293,0.7327188159417164,Linear
prp_bottleneck,166,2150.2597474963322,0.014921715224233467,2151.133221824918,0.021584119122849854,-11.600160071140696,0.29967593579380264,Linear
