participant_id,mean_lapse_duration,max_lapse_duration,n_lapse_episodes,n_trials
JOBWLirr6KYf3GXJ3jPFKmd48S93,1.8,5,5,73
JntnHLHjYhc0xJJQALM3h9R5Ozv1,1.4285714285714286,2,7,75
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,1.0,1,5,60
JvrZiMHtAfP6gvQtlevYWafKy0z2,3.5,6,4,75
K26uNuY0VNPjJNF26wEx3bFg0kr2,1.0,1,2,70
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,4.6,18,5,83
KtKj6zUKc5Oogd2itg2jdwkchnf2,6.75,19,4,66
LSLmd8jENtONZFVkIpRDX665Bu73,1.0,1,9,82
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,1.5,2,6,70
LliUMEIsrCVZ88YFQfevan2Og4z1,4.0,20,10,96
M4Km1Q2P2oPliChDQkwl6k20FUI3,4.7,16,10,93
MMSYeiMQi3gMr4PrXQcpXzFiegj2,3.6666666666666665,7,6,108
O61Eik2zvrSQLMNpFbTNEgjWwMr2,2.8,5,5,78
OExlWyngGfPrScDYjaRcv5PIAet1,1.3333333333333333,2,6,64
ORuVuFPU5idz3fMoXTGsbwToW2j2,1.75,3,4,88
P8mTl71XaYNvFMTCvlKpzzUdc9W2,1.25,2,8,78
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,1.0,1,19,66
PLreonkqaMeFc0UqxKUelH44UQu1,1.5555555555555556,4,9,91
PXesLO51qlY7lJBrLdOAZiHmUR72,1.7777777777777777,5,18,89
PkpTH7pWpEOG9A86xSloOSozwTk2,4.555555555555555,18,9,112
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,1.0,1,5,74
QbOEVCaZLUMOgltUdXm58oZOALv2,4.25,14,8,98
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,13.666666666666666,27,3,63
QreA2rLiUhV3YHeMfuHMPdGbpJ53,1.0,1,10,95
Rc706mP0TSeIoIpMYH1SpRXjOxA2,1.1666666666666667,2,6,59
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,8.5,20,4,74
Ru3Qf6pXZua1DfNkQdhbor6iJ403,1.2222222222222223,2,9,81
SOhR7IO689NQCPQu56SjATO8FR92,1.4,3,5,100
SPCT9D90pRa1ihXS5jEw6vCmquI3,15.5,30,2,113
SdDjNMBD2ZMTEwUphkohi2cZwUx1,2.0,8,9,83
SpSfX0ZcfcPLdlOENlfdfvEPwru2,3.2857142857142856,13,7,72
SvtOrPatsnWjicxtyndEzSdO5Wp1,2.4,6,10,83
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,2.4444444444444446,9,9,76
UK6MLdHbCaS4xIz2f3vGdpkbBzG3,8.4,22,5,128
Ub7nV8F55kPruh35ZpUcKoBUyn63,5.285714285714286,8,7,80
UbqFccqQZZgcqJIqCn3ErH9zQdM2,1.0,1,2,90
UbwuSMtBsHdW3Ji41opk3GInMqi2,1.1666666666666667,2,6,76
Uryn3G6dNMRdHjTi9jSNnuXQYTf1,1.0,1,2,74
VwTymW8T68MfpnJvZ2X97ILqDWS2,4.0,11,8,81
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,1.3333333333333333,2,12,85
WbOfW9KmUkPQK8o5hlHJnJFdpp92,6.0,17,7,97
WcTsIpSoEhYeIBSNjAbbdaNSBya2,2.466666666666667,13,15,93
WeHQDy9BWldTlaQDVVlsJNCqwxA2,1.8,4,10,107
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,11.333333333333334,28,3,71
WnC6Uscb5VMIr43GASKiUCO3AYH2,3.6666666666666665,7,3,72
WqoZv41KTtTCuPKBPyClregrKAi1,2.5714285714285716,10,14,89
XehZHBpwr5MYzUXkj0FAYCsFG922,2.7777777777777777,10,9,113
YEU5ox3jteVINfdSTg5ymqYcS9o2,3.0,4,5,67
Yco8O7tmHlbsUBfKW2ywcZByGO32,1.0,1,32,64
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,1.0,1,9,86
ZEd5KGl23wS7rvzDkxzgqmCgLaC3,1.3333333333333333,2,6,80
aM2995jJmJWvr6cneaGH58HauIg2,3.0,6,7,87
afdTz6deeYWf1qKNdUpKAYKN3hz1,88.0,88,1,101
