gender,outcome,beta_ucla,p_ucla,n,r2
Female,lapse_occupancy,0.7555763684738485,0.6992294945778518,103,0.029868480079341286
Female,trans_to_focus,0.01932516172883237,0.6794909458075165,103,0.046757958892845286
Female,lapse_occupancy_corr,-0.04581851671602604,0.6458223180271131,103,0.0020993364740567576
Male,lapse_occupancy,5.355176877578266,0.02436468809212233,72,0.11620973221770525
Male,trans_to_focus,-0.05508873942577616,0.277238714676052,72,0.025591312725711357
Male,lapse_occupancy_corr,0.3352562740273117,0.003992280587480697,72,0.1123967692746759
