outcome,term,beta,p,n
mean_lapse_duration,UCLA,0.7241476518748381,0.4529354001626593,175
mean_lapse_duration,UCLA x Male,0.0298528681274543,0.9672242420787007,175
max_lapse_duration,UCLA,0.07896559881761413,0.9493380295699391,175
max_lapse_duration,UCLA x Male,1.0489770846550834,0.4223842930678874,175
n_lapse_episodes,UCLA,-0.4265230531001779,0.46251958412803784,175
n_lapse_episodes,UCLA x Male,1.4262753924401514,0.1473602476101426,175
