participant_id,lapse_occupancy,trans_to_lapse,trans_to_focus,stay_lapse,stay_focus,lapse_rt_mean,focus_rt_mean,rt_diff,state_changes,n_trials
jzdk8E3tVXTXIozlfK5oeEb7wWp2,1.282051282051282,0.0,1.0,0.0,1.0,3969.5,1276.609090916522,2692.8909090834777,1,78
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,20.618556701030926,0.23605762863709892,0.7246311425766386,0.2753688574233614,0.7639423713629011,2692.9840834759525,1329.6126785367555,1363.371404939197,31,97
kI0YdycDU0X5hcoEPjEON3Ionyd2,20.238095238095237,0.29616557711403846,0.9999978842620326,2.1157379674035715e-06,0.7038344228859615,2338.1498545170434,1320.3658298082069,1017.7840247088366,33,84
kR2rCtaPyPaj7YMizKUDn5xL2qx1,33.734939759036145,0.1784550265399928,0.3119308562870464,0.6880691437129537,0.8215449734600072,1875.312260535092,954.8751113655719,920.4371491695201,15,83
kgSRatooJJfDaMZ2yIURqb8aJuE3,31.818181818181817,0.22336015217250701,0.4873899601381687,0.5126100398618312,0.7766398478274928,2027.6402150281635,977.4560150051994,1050.184200022964,15,66
kxerHPSL3bQjD74HhiebYf3blPr1,39.130434782608695,5.199196091009818e-06,0.022205273134170755,0.9777947268658292,0.999994800803909,1019.9744267264326,223.6114587829545,796.3629679434781,1,115
lHDkoPQu5reNCO45npeYSS9eLQl1,8.333333333333332,0.09636396653079568,0.9997379458119008,0.0002620541880992936,0.9036360334692043,3367.3559060537004,1402.4047742222829,1964.9511318314176,17,108
lpzDdvuMkKWkPxu6xeclmdctEp42,18.072289156626507,0.16139230272183847,0.6222131024499491,0.37778689755005074,0.8386076972781615,2480.6881694161184,1138.9160936725218,1341.7720757435966,19,83
m69r9GQTk2b51mvxrFLt4fZeJi52,9.876543209876543,0.08535327988385386,0.8563398339374128,0.14366016606258733,0.9146467201161462,3234.9558280450788,1164.0305095295082,2070.9253185155703,13,81
mUZzgdWKnPb2txOkJg9FHgqX5792,17.475728155339805,0.08557786277857854,0.3597187310145673,0.6402812689854328,0.9144221372214214,2588.662483939605,1484.2273093849938,1104.4351745546112,13,103
mYRMPGfR5gRSjnp7ojjD5sXo7Jr2,47.82608695652174,0.35063550242599095,0.27352586154082426,0.7264741384591757,0.649364497574009,2397.1331642697987,1123.9398769111333,1273.1932873586654,21,69
mg2WZiRBn4NQDKiMK43Y8dBqyG53,13.008130081300814,0.06622711536271977,0.5125443966580959,0.4874556033419041,0.9337728846372803,1740.5120246172946,900.8098799298003,839.7021446874943,15,123
mweMgSlGM2VxThhwnupYxYzUbR23,10.0,0.10601351890799475,0.9999999936720715,6.327928429129256e-09,0.8939864810920052,2366.7596244549627,1053.3683003886995,1313.3913240662632,15,80
mwsliuPsLFhRFjtjQwYkqcCRDvi2,20.0,0.1641222378646452,0.5691587204703371,0.43084127952966295,0.8358777621353547,2080.3531002692457,982.3966928218301,1097.9564074474156,17,70
nT1qJOiMyDdJ9ui4el195A8Hsgs1,30.0,0.4103379212252384,0.6456988963753121,0.3543011036246879,0.5896620787747616,2042.6387720261625,1307.1737091131463,735.4650629130163,29,70
o4jXmZcjtMVF2ZInToRpVHUhpdV2,23.28767123287671,0.21949381293142503,0.5710265170810419,0.42897348291895804,0.7805061870685749,2515.0810854263596,1557.2158972761904,957.8651881501692,21,73
ohl9pXqpeSMfepC3w9h0tW5SbJw1,8.333333333333332,0.05802862362515743,0.7887217398967321,0.21127826010326795,0.9419713763748425,3358.7041072600623,1636.9274532067327,1721.7766540533296,8,72
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,12.195121951219512,0.09006631256482188,0.6845241752109763,0.31547582478902375,0.9099336874351781,2434.002628701886,1031.7423058101215,1402.2603228917644,13,82
pRQimOpZtsekBI2I1kbnD3pycmo1,13.698630136986301,0.14014805015969076,0.9999999965009619,3.4990379436610814e-09,0.8598519498403093,3045.935778622131,1331.1652072413492,1714.7705713807816,18,73
pYrcE6tMnVQP1kHAjYwvIz5NOvn1,3.3707865168539324,0.027378400656015937,0.9999999999999952,4.798911313994771e-15,0.972621599343984,2453.0863440048156,829.3832019072657,1623.70314209755,5,89
q0Atnpm0jZS5swcVmq0EMalQUKw1,21.12676056338028,0.14402429199155042,0.5012825210180523,0.49871747898194774,0.8559757080084497,2488.1116388037062,1250.8142184460662,1237.29742035764,15,71
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,8.661417322834646,0.049601077940478966,0.467651470126906,0.532348529873094,0.950398922059521,2613.160527755051,1364.8468533516457,1248.3136744034055,9,127
qnR5PLX1v3fPi6SwTJMwGcadwyD3,34.146341463414636,0.27349796089383005,0.43019552077810236,0.5698044792218976,0.72650203910617,1440.3231386035632,779.4617237181295,660.8614148854336,23,82
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,18.91891891891892,0.07594462410101706,0.3857268951379588,0.6142731048620411,0.9240553758989829,2616.9584077503036,1067.1741384617321,1549.7842692885715,9,74
rFV2EUbp64f5ORSh7DqwmCQmeqT2,7.777777777777778,0.0591017394895198,0.6613192528953873,0.3386807471046128,0.9408982605104802,3418.967543246226,1414.155915063874,2004.8116281823518,9,90
rNe3cRPepZUXbJhmmfQZiGsVzX22,29.357798165137616,0.0227180795319132,0.08741916216752686,0.9125808378324731,0.9772819204680869,2213.3398966294412,1248.153556592562,965.1863400368793,3,109
ric6cNjG25XmZJCiKZDOxzeezao1,7.000000000000001,0.07776172599829483,0.9952672578819869,0.004732742118013102,0.9222382740017052,2217.2764087168507,954.6566558214371,1262.6197528954135,13,100
roaf78tUWxWSEjAUcUu8O7mrQbl1,20.54794520547945,0.2176043858564299,0.7185046589875576,0.28149534101244245,0.7823956141435701,2534.352302248489,1152.0690097511535,1382.2832924973357,21,73
s48aCkolCSNbBRSSRPle0r61a7H2,26.785714285714285,0.06673555299865269,0.19237918015070865,0.8076208198492913,0.9332644470013473,2669.2034290410606,656.8170130775843,2012.3864159634763,11,112
s5gTyWKzfkdHXNT3qicwPmdONYv1,7.5,0.043516112130315664,0.6776233877057487,0.3223766122942513,0.9564838878696843,2804.5073413795253,1370.7350388180544,1433.772302561471,7,80
sqfXvh6GJLaYAqr3RvHrixP8IOx1,40.0,0.312641110591619,0.4202456696580844,0.5797543303419156,0.6873588894083811,2430.1287938813875,1197.4314966390184,1232.6972972423691,24,75
