path,beta,p,ci_lower,ci_upper,significant
a (UCLA -> DASS),5.33154783000685,2.002921152122517e-26,,,
b (DASS -> Lapse),-0.17439367701935155,0.3391315035806943,,,
c (Lapse -> PE),-0.00513795387806369,0.8349236209168748,,,
indirect (a*b*c),0.00477720904354222,,-0.05105986816700042,0.07918141313521232,False
