effect,observed_n,observed_beta,standardized_d,cohen_f_squared,power_observed_n,power_n200,mdes_d_at_n200_power80,mdes_f_squared_at_n200_power80
WCST PE × Gender Interaction,76,2.517,0.5540391811578251,0.30695941425803336,0.9662562293824667,0.9999991352441117,0.2568818087007596,0.06598826364137365
WCST PE: Male Simple Slope,30,2.9,0.7552083333333334,0.5703396267361112,0.8278609190202051,0.9999999999999729,0.2568818087007596,0.06598826364137365
PRP Bottleneck × Gender,76,68.802,0.4713240532690306,0.222146363189948,0.8813246620082794,0.999877386425339,0.2568818087007596,0.06598826364137365
