method,beta,se,t_value,p_value,ci_lower,ci_upper,significant_05
Standard OLS,2.533977883007881,1.1082589029150534,2.286449381406059,0.025347850536762275,0.3224816742603691,4.745474091755393,True
HC3 Robust,2.533977883007881,0.8697025986049054,2.91361424821847,0.0048311815594510345,0.7985133679079925,4.26944239810777,True
