outcome,outcome_col,gender,n,beta_ucla,se_ucla,p_ucla,ci_lower,ci_upper,beta_dass_dep,p_dass_dep,beta_dass_anx,p_dass_anx,beta_dass_str,p_dass_str,beta_age,p_age,r2,r2_adj
WCST PE Rate (%),pe_rate,Female,95,-0.3088396207874917,0.7817156162982634,0.6937297015981114,-1.8620918994435658,1.2444126578685824,-1.0556066281872383,0.21760817741417762,0.04132363303589709,0.9644277317010304,0.21952490812223857,0.8057740642377397,-0.42876720372457444,0.4165252502379261,0.04879632106367637,-0.004642087865330602
WCST PE Rate (%),pe_rate,Male,55,0.5491502264720556,0.7707855563256459,0.4795618441986842,-0.9998013406568473,2.0981017936009585,-0.3247710842071081,0.7122387188208497,-0.03592159484211721,0.9620237949200874,-0.3296894600954698,0.7041941602483195,0.7089292298480798,0.444735911636268,0.026359353912996708,-0.07299173242241164
WCST Accuracy (%),wcst_accuracy,Female,95,1.4011479241429647,1.5172544384858222,0.3582561703547391,-1.6136043268597264,4.415900175145656,-0.5697038283630009,0.7307080822732817,0.5038549243431474,0.7793978215783903,-0.16205510524201205,0.9254812584967848,0.49955466550571503,0.6253479778152671,0.01597151531488905,-0.039310983824723866
WCST Accuracy (%),wcst_accuracy,Male,55,-1.47785331042903,1.7069802866294554,0.39083534403246634,-4.908158624707355,1.9524520038492954,0.9605022884049261,0.6224995805137065,0.4316169077678049,0.7962143573000044,0.803468307554124,0.6761405374645735,0.8213578575378615,0.6886536265528994,0.033762728900099015,-0.0648329110080541
Stroop Interference (ms),stroop_interference,Female,100,2.2746528568008486,14.693458310117848,0.8773052469138887,-26.89955306002779,31.44885877362949,-8.363797874399426,0.6008802345510887,13.422220834209973,0.4209537659230772,-13.325793323923481,0.41404400914201267,4.4596817091201455,0.654175318040406,0.01592761623421768,-0.036416659498004655
Stroop Interference (ms),stroop_interference,Male,58,33.129642657728866,19.30263539154394,0.0920545543731677,-5.6039289799834435,71.86321429544117,-55.011301134596906,0.015958406347537746,17.558862973421334,0.35720232122349815,5.273982741127831,0.8088094491088226,55.33789882520953,0.017964771365682683,0.1620359688005687,0.08146250426216173
PRP Bottleneck (ms),prp_bottleneck,Female,97,4.451868688085029,21.586884522800908,0.8370717591167196,-38.42782556307953,47.33156293924959,-16.796835242757396,0.47220102411682296,18.162128831455064,0.4636146270487803,-32.08966950667503,0.17826213726390644,-9.612828654574232,0.5077020120104105,0.04721934055734944,-0.0051312451263128
PRP Bottleneck (ms),prp_bottleneck,Male,57,21.391215139939565,24.426857200667293,0.38528540586892834,-27.647746935942603,70.43017721582173,-50.47342833167838,0.07623700818011384,-16.445601466344467,0.494191514941672,78.16286985788147,0.0063244981730693215,89.15379581825268,0.0031768497887572278,0.2764318624757708,0.2054938097773169
