model,term,beta,se,t,p
EF outcome,Intercept,0.1374874037314737,0.05716172104338801,2.4052355531268086,0.016162044509321426
EF outcome,C(gender_male)[T.1],-0.3183626282927453,0.0949831958491001,-3.3517784429840445,0.0008029424927692776
EF outcome,z_ucla,0.05146536200041283,0.07525528773009701,0.6838770211734926,0.49405282537449635
EF outcome,z_ucla:C(gender_male)[T.1],0.06837087389382612,0.11443223465781792,0.59747914648589,0.5501875257078882
EF outcome,z_dass_dep,-0.1534541186393196,0.06641655700079863,-2.310479879850959,0.020861601192266214
EF outcome,z_dass_dep:C(gender_male)[T.1],0.05768213115587441,0.10233456061341119,0.5636622741146067,0.5729839967435051
EF outcome,z_age,0.017698005249332346,0.17759966552090584,0.09965111813371662,0.9206213093632077
