gender,n,max_error_run_r,max_error_run_p,max_slow_run_r,max_slow_run_p,p_error_after_error_r,p_error_after_error_p
male,27,0.07264600953975839,0.7187766529087941,0.19582721792483598,0.327619277822676,,
female,45,-0.16584272486872176,0.27625898789605763,-0.1504383779691762,0.3239361580160868,,
