,z_ucla,z_dass_dep,z_dass_anx,z_dass_str,pe_rate,stroop_interference,prp_bottleneck
z_ucla,1.0,0.3817563564943294,0.03619821293107229,0.18979053804939727,-0.11013223549378329,0.05953706921061246,0.09286408905747214
z_dass_dep,0.3817563564943294,1.0,0.26277204414944744,0.3723470453229006,0.02901623058284655,-0.13557581466445567,-0.0
z_dass_anx,0.03619821293107229,0.26277204414944744,1.0,0.37223580279026114,0.0,-0.0,-0.0
z_dass_str,0.18979053804939727,0.3723470453229006,0.37223580279026114,1.0,-0.0,0.06604709890361919,0.08404153802204162
pe_rate,-0.11013223549378329,0.02901623058284655,0.0,-0.0,1.0,0.05688511553061634,0.1539278560963842
stroop_interference,0.05953706921061246,-0.13557581466445567,-0.0,0.06604709890361919,0.05688511553061634,1.0,0.21829366184027726
prp_bottleneck,0.09286408905747214,-0.0,-0.0,0.08404153802204162,0.1539278560963842,0.21829366184027726,1.0
