,coupling_pearson,coupling_pearson,coupling_pearson,coupling_spearman,coupling_spearman,coupling_spearman
,mean,std,count,mean,std,count
soa_bin,,,,,,
long,0.553388616102158,0.2665119166114485,156,0.4881972214064909,0.22700595019525632,156
medium,0.8091275467840434,0.10073483109272263,156,0.7285174751631615,0.12840685031951116,156
short,0.8678374967386264,0.09179235068169485,156,0.8472738318576265,0.09542317602175719,156
