participant_id,soa_bin,n_trials,coupling_pearson,coupling_spearman,p_pearson,p_spearman,t1_mean,t1_sd,t2_mean,t2_sd
GE4hogtdLdTFbNasENgtm6SO3hC3,short,46,0.9585632404045342,0.9225076324963305,1.2601142720922515e-25,8.316342084797792e-20,1049.3108695641808,400.9046418249187,1110.080434785589,426.4689634568413
GE4hogtdLdTFbNasENgtm6SO3hC3,medium,47,0.7435061525265527,0.42564754856614245,2.1414396530563702e-09,0.002856164312906954,1008.4744680834577,238.61369961777592,756.102127659194,251.03924546009353
GE4hogtdLdTFbNasENgtm6SO3hC3,long,24,0.27570052900263103,0.624918475307826,0.19223580677951418,0.0010954470198568742,1584.4499999967713,251.58710055842124,630.3874999992549,122.35758834866039
Qv0jhW3sqicqQvd7LfReAsI7nD73,short,47,0.753473134581981,0.781567992599445,9.857039780616968e-10,8.951938287011493e-11,986.9765957435395,271.45457847518406,909.5808510602789,249.98898753508647
Qv0jhW3sqicqQvd7LfReAsI7nD73,medium,48,0.4558710226908087,0.4837168910117238,0.001129172253796515,0.0004957195866309294,1115.2249999977648,164.62155273428388,694.1145833314707,242.16381420776494
Qv0jhW3sqicqQvd7LfReAsI7nD73,long,24,0.7761084011677309,0.7817391304347826,8.301910753972575e-06,6.454527225791052e-06,1721.6375000004966,131.32482886887018,523.2458333286146,133.13819254974646
ORvIk1xRWIQmKuLVe6GXNouvAXx2,short,42,0.9245878732897972,0.8335629203468115,2.323204271089286e-18,7.307040217111552e-12,899.1190476190476,368.28635419447875,1170.1571428577106,488.98395686675735
ORvIk1xRWIQmKuLVe6GXNouvAXx2,medium,44,0.8207727176172674,0.7011522609095938,9.030303181218999e-12,1.1542067906549874e-07,899.0749999934977,442.6611987411983,944.7409090995789,514.8142623230993
ORvIk1xRWIQmKuLVe6GXNouvAXx2,long,21,0.4986861617689929,0.6649350649350649,0.021385417714655058,0.0010065514776879624,764.3047619093032,242.136188511921,573.6952380793435,201.70007785013257
80UJMJbCOMgs6YVpsMgXfYTzw6o2,short,47,0.916513357092413,0.8667900092506939,1.5919818097475298e-19,3.417626666381719e-15,886.1574468083996,268.1275155076292,1019.778723404287,260.43096029304786
80UJMJbCOMgs6YVpsMgXfYTzw6o2,medium,46,0.8251923287593672,0.6880666049953746,1.7457842218257175e-12,1.2650070300066938e-07,791.0521739131326,248.95869898357446,743.6413043478261,217.87717578669023
80UJMJbCOMgs6YVpsMgXfYTzw6o2,long,22,0.5431119178479885,0.48277809147374373,0.008999795654007683,0.02285806342926678,724.5545454547656,221.62206717994064,522.2954545454545,125.31933927988456
rUuJv5gl7dWVo7UPQWMx4bohxhK2,short,40,0.6130571643939642,0.6606003752345218,2.604938452349547e-05,3.5052766443071e-06,1457.5475000000035,432.1556235822279,1979.204999999993,513.8873426880662
rUuJv5gl7dWVo7UPQWMx4bohxhK2,medium,35,0.5916306100896733,0.6330532212885155,0.0001817295406271671,4.4815768702977496e-05,1557.2457142857568,657.3092428738315,1641.9771428571482,617.3833127855924
rUuJv5gl7dWVo7UPQWMx4bohxhK2,long,20,0.7708686286822044,0.6210526315789473,6.948665320338177e-05,0.0034728102725411648,1236.660000000021,465.052999560271,997.9149999999906,320.0691023435223
xyAILKfYP2M8GqAai11x6NT7IcP2,short,48,0.7817311423660506,0.862679114198871,5.4417445359959324e-11,3.2389940367615783e-15,1239.4895833333237,428.15654956239143,1540.143749999969,437.09225089710833
xyAILKfYP2M8GqAai11x6NT7IcP2,medium,48,0.81797952657491,0.6547980894485453,1.2717479172397632e-12,4.441900254984565e-07,969.7312500000116,269.17947246855573,983.0916666665775,373.09581646524464
