parameter,coef,se,tvalue,pvalue,ci_lower,ci_upper
"C(soa_bin, Treatment('long'))[T.medium]",0.2588338368325938,0.01989110223312139,13.012543689087288,4.9675043277402e-33,0.21974167034889613,0.2979260033162915
"C(soa_bin, Treatment('long'))[T.short]",0.31828751505157277,0.01989110223312139,16.001502145093838,7.512317641238439e-46,0.2791953485678751,0.35737968153527044
z_ucla_total,-0.003165504744789046,0.01609120714520797,-0.19672263965178938,0.8441344045541614,-0.03478970240220684,0.028458692912628748
"z_ucla_total:C(soa_bin, Treatment('long'))[T.medium]",-0.004631556130048044,0.01980931404675992,-0.23380699195919896,0.8152423425183486,-0.04356298353754115,0.03429987127744506
"z_ucla_total:C(soa_bin, Treatment('long'))[T.short]",-0.00043753829623631793,0.01980931404675993,-0.022087503646189253,0.9823880550332654,-0.03936896570372944,0.03849388911125681
