parameter,coef,se,tvalue,pvalue,ci_lower,ci_upper
"C(soa_bin, Treatment('long'))[T.medium]",0.24449103841500774,0.01831883541269201,13.346429121013594,2.0598437393605297e-34,0.20848886239944384,0.2804932144305716
"C(soa_bin, Treatment('long'))[T.short]",0.3648432734145715,0.018318835412692008,19.916291903676026,1.435928867867255e-63,0.32884109739900763,0.4008454494301354
z_ucla_total,0.0030298839037629192,0.014819298188200084,0.20445528966921486,0.8380912036842698,-0.026094619361824483,0.03215438716935032
"z_ucla_total:C(soa_bin, Treatment('long'))[T.medium]",-0.0025152702170607374,0.018243512069264438,-0.13787203952348145,0.8904039109222333,-0.03836941257180134,0.033338872137679866
"z_ucla_total:C(soa_bin, Treatment('long'))[T.short]",-0.0023401648225679222,0.018243512069264445,-0.1282738111874023,0.8979902389419572,-0.03819430717730854,0.033513977532172695
