suite,file,task,metric,beta_ucla,se_ucla,p_ucla,n,r_squared,cohens_d,p_fdr,significant_fdr,significant,marginal
control_strategy,congruency_proportion.csv,stroop,interference_change,46.26370478650356,17.83811948352008,0.0094996146268166,171,0.0584125345183826,0.39666445015769863,0.35945587316794403,False,True,False
ddm,ucla_ddm_relationship.csv,,v,-0.0140883920760976,0.0056619910279824,0.012837709755998,102,0.0738087481764961,-0.4927449277011976,0.35945587316794403,False,True,False
reinforcement_learning,ucla_rl_relationship.csv,,alpha_pos_interaction,0.154732475603165,0.0733756282190073,0.0349642603033353,162,0.0483050733667452,0.33136156279215856,0.6526661923289256,False,True,False
attention_depletion,fatigue_trajectory.csv,wcst,cv_fatigue_slope,-0.0229795543268963,0.0117235832193279,0.0499825197935347,171,0.0550797240936008,-0.2997872590825855,0.6980482733674721,False,True,False
ddm,ucla_ddm_relationship.csv,,v_interaction,0.0140349160117875,0.0075295774241865,0.0623257386935243,102,0.0738087481764961,0.36912131510372986,0.6980482733674721,False,False,True
attention_depletion,fatigue_trajectory.csv,stroop,accuracy_fatigue_slope,0.0058091288034761,0.0033201863428095,0.0801805585026416,171,0.0733092990275197,0.2675965362575341,0.7112156467175031,False,False,True
error_monitoring,error_cascade.csv,stroop,burst_proportion,0.0333360375512578,0.0198283547514325,0.0927181242073239,171,0.0352003101598523,0.2571338407390523,0.7112156467175031,False,False,True
reinforcement_learning,ucla_rl_relationship.csv,,alpha_asymmetry_interaction,0.1681094403687527,0.1026851333614327,0.1016022352453576,162,0.0581344210603675,0.2572509690003636,0.7112156467175031,False,False,False
error_monitoring,error_awareness.csv,wcst,post_error_acc,0.0298563487806897,0.0201685373285918,0.1387817898038962,158,0.0772213928606326,0.2355394976282824,0.722187924553331,False,False,False
error_monitoring,error_cascade.csv,stroop,mean_burst_length,0.0847825887769355,0.0573793313797329,0.1395200613196652,171,0.0423285412043316,0.22598683017042911,0.722187924553331,False,False,False
error_monitoring,error_cascade.csv,stroop,n_bursts,0.0410310403866022,0.028913156188455,0.1558660284213747,171,0.0427138794224644,0.21704459105998425,0.722187924553331,False,False,False
error_monitoring,pes_decomposition.csv,wcst,acc_diff,0.024933257253349,0.0177780229684411,0.1607730397344429,158,0.0719917489758975,0.22315005961395148,0.722187924553331,False,False,False
error_monitoring,error_cascade.csv,wcst,burst_proportion,-0.0312770888073739,0.0236134549170618,0.1853220357263769,171,0.0466131563222469,-0.20258100892848227,0.722187924553331,False,False,False
attention_depletion,fatigue_trajectory.csv,stroop,cv_fatigue_slope,0.0153364157461626,0.011592202294238,0.1858373254180769,171,0.0397929789608488,0.20234378156649835,0.722187924553331,False,False,False
control_strategy,post_conflict_adjustment.csv,stroop,reactive_rt_adjustment,9.423734995497812,7.246460132934389,0.1934431940767851,171,0.0229670202615019,0.1988973963501599,0.722187924553331,False,False,False
attention_depletion,fatigue_trajectory.csv,wcst,accuracy_fatigue_slope,-0.0208844455467797,0.0192225202345238,0.2772767659445764,171,0.023949836631265,-0.16616691752309634,0.9704686808060174,False,False,False
error_monitoring,error_cascade.csv,wcst,n_bursts,-0.4409783914466754,0.4431685542923079,0.3197080823924002,171,0.0533225005325035,-0.15218796597809492,0.9714995273697323,False,False,False
reinforcement_learning,ucla_rl_relationship.csv,,beta_interaction,0.1622259749774905,0.1684786508450694,0.3356040187815605,162,0.0371501008992596,0.15130316237010205,0.9714995273697323,False,False,False
error_monitoring,conflict_detection.csv,stroop,cse,17.952714517201983,19.707947731097644,0.362328148379811,171,0.042335120232298,0.13932230902066267,0.9714995273697323,False,False,False
error_monitoring,error_awareness.csv,wcst,awareness_index,0.0865633105792531,0.0952181670912517,0.3632947103096402,158,0.0665135066614063,0.14464901893709736,0.9714995273697323,False,False,False
reinforcement_learning,ucla_rl_relationship.csv,,beta,-0.1423284482442808,0.1568913085644339,0.3643123227636496,162,0.0371501008992596,-0.142549375006692,0.9714995273697323,False,False,False
attention_depletion,fatigue_trajectory.csv,stroop,rt_fatigue_slope,-12.02796329247463,15.13000247606124,0.4266284455966193,171,0.0730815743317868,-0.12158640996378718,0.9975890057057456,False,False,False
attention_depletion,fatigue_trajectory.csv,prp,cv_fatigue_slope,-0.0091622317323916,0.0122919159581879,0.4560379296797915,169,0.0875369502621038,-0.1146748901855845,0.9975890057057456,False,False,False
error_monitoring,error_awareness.csv,wcst,recovery_rate,0.0127893380682998,0.0185290360462373,0.4900481513916245,158,0.0684110595037772,0.10982385737317443,0.9975890057057456,False,False,False
ddm,ucla_ddm_relationship.csv,,a_interaction,0.0047292384089582,0.007358320760879,0.5204147542068515,102,0.0734696275456423,0.12727479388168192,0.9975890057057456,False,False,False
attention_depletion,fatigue_trajectory.csv,wcst,rt_fatigue_slope,-16.13876924097593,25.149027384637197,0.5210515049576945,171,0.0178361565380034,-0.0981479331866828,0.9975890057057456,False,False,False
control_strategy,post_conflict_adjustment.csv,stroop,reactive_acc_adjustment,0.0023030180607985,0.0036948193009825,0.5330807845503682,171,0.0365485089081937,0.09533142408249864,0.9975890057057456,False,False,False
error_monitoring,pes_decomposition.csv,stroop,cv_reduction,-0.0319069154670469,0.0536499119952708,0.5520276623581476,38,0.0749286609113089,-0.1929540973494874,0.9975890057057456,False,False,False
