participant_id,t2_rt_mean,t2_rt_sd,t2_rt_cv,t2_rt_iqr,n_trials,cv_short,cv_medium,cv_long
06qcrpGKL6Vc3LVplFQC90VAcRm1,647.5883333331595,209.008713654873,32.27493500061959,321.3500000014901,120.0,20.256598626238056,29.852425776937448,17.295066967749452
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,661.6158333333423,326.45108478239945,49.34148615181696,291.79999999995925,120.0,39.87288239482496,42.418227479198784,25.510880807839442
0d841i8KPjdjwCYfDuUUXj0SEjH2,928.7325000445048,479.53615459386714,51.633398698859764,671.9250004291532,120.0,42.984471847707944,49.54425427273282,37.67039728485035
0oa5NYVnIBS9NmrmRAZrahXDctP2,687.8908333332588,335.0032135797622,48.70005491372277,315.1249999962747,120.0,42.528561157435135,50.73666985859657,26.86595699543901
146QT9LupyU2BAiTsB3PMIpVXM22,778.4361344540821,435.5538431628852,55.952418430362236,457.099999986589,119.0,44.78200198058764,60.493667365497615,39.97489271880108
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,842.2791666659216,327.154964411374,38.84163082251986,441.05000000447035,120.0,24.85160322940739,39.3085947767095,50.63247935058389
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1408.866666669647,491.55769613712744,34.890292159377815,747.6250000298025,120.0,26.64911407884794,27.807067925140878,36.188339482833015
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,1363.3163793117835,536.8499377370101,39.37823574070295,649.9999999701977,116.0,25.809683760977247,41.507678056030024,37.0418017809156
23AEyocWhqY955WHbxhHRSgQ1ms2,817.1103448277532,461.5140771097039,56.48124271477569,464.39999999292206,116.0,46.19694574935177,53.86131703087559,75.54630827827872
2h5FgHUEvBS1twD5DqbTIRrMm1f2,878.643697478691,433.3275628461604,49.31777967447032,617.5500000119212,119.0,26.80768428737908,56.40730294424888,60.39562074553332
2zDXvJKvjeejeOSNbtDbtSI5cdz1,1108.0516666665828,407.55697915468824,36.781405724587366,700.3499999986961,120.0,21.077546269447154,35.30245688142784,30.614170942855306
3WijiOiVCoMbn80F05SPYsxl0TC2,862.915833334128,317.86168626772974,36.835769375047626,377.2000000476836,120.0,23.40385217692236,31.720229800614664,39.18340852912959
3xCaqfcHxRQxuOlEzXz3PNcHODH2,706.9361344539568,377.60299834814373,53.41401860011121,410.5,119.0,38.44811318309669,57.28168442330944,30.454972299679305
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,1007.9774999999985,511.5142935585458,50.746598367378894,727.1500000001979,120.0,32.0319080258966,49.65834302104592,76.06321209843844
5OOi73igsahMZ5IVKQwwyhnj4Cn2,836.0558333333078,369.9872066368422,44.25388734646153,398.04999999993004,120.0,33.87773061887526,48.68296423213543,44.60097369955067
5rXSa3anB5ejmFrnwUsTB82byup1,923.19579831933,323.69449171285515,35.062387881545625,474.29999999981374,119.0,25.019410753560212,38.738455295477856,35.152502647400624
5zxa5CMLGQSSonWOXqXf0QNS3PH3,861.2758333295584,387.55326183037926,44.99757764387265,476.5499999821184,120.0,36.46832740400025,41.41790382271153,29.516349165007732
62fAfeQc27bZelkPX7G54T3gvci2,1267.1141666666604,423.6295314088345,33.432625295576756,445.0500000002794,120.0,24.08816822285244,28.81169125985571,26.096012602109425
6ABZuv4jbjgE0B8TeyUk6nwVb122,1164.7183333357175,441.7688862877657,37.92924638032898,707.2250000238419,120.0,23.06634951451535,35.08148805776493,40.75473606520213
