participant_id,wcst_n_trials,wcst_n_errors,wcst_error_rate,wcst_n_runs,wcst_z_runs,wcst_p_runs,wcst_n_error_runs,wcst_mean_error_run_length,wcst_max_error_run_length,wcst_p_error_given_error,wcst_p_error_given_correct,wcst_error_transition_ratio,wcst_clustering_coef
7QYZfcjgZHcVB941oHiLGGPTk7U2,,,,,,,,,,,,,
GE4hogtdLdTFbNasENgtm6SO3hC3,67.0,3.0,0.04477611940298507,7.0,0.41913046537224535,0.6751207867067768,3.0,1.0,1.0,0.0,0.047619047619047616,0.0,0.9616204690831556
ORvIk1xRWIQmKuLVe6GXNouvAXx2,101.0,17.0,0.16831683168316833,27.0,-0.8199510623169853,0.4122440057693,13.0,1.3076923076923077,2.0,0.23529411764705882,0.1566265060240964,1.502262443438914,1.0843417675100844
80UJMJbCOMgs6YVpsMgXfYTzw6o2,71.0,5.0,0.07042253521126761,11.0,0.6709488443244873,0.5022531186546564,5.0,1.0,1.0,0.0,0.07692307692307693,0.0,0.9359795134443022
rUuJv5gl7dWVo7UPQWMx4bohxhK2,89.0,9.0,0.10112359550561797,17.0,-0.10760994221168077,0.9143051100481077,8.0,1.125,2.0,0.1111111111111111,0.10126582278481013,1.097222222222222,1.0105750165234633
xyAILKfYP2M8GqAai11x6NT7IcP2,81.0,8.0,0.09876543209876543,15.0,-0.26989057408431144,0.7872444389752626,7.0,1.1428571428571428,2.0,0.125,0.09722222222222222,1.2857142857142856,1.0279835390946501
pcbRW89vVJcviD87V3uxyG4I9st2,,,,,,,,,,,,,
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,98.0,6.0,0.061224489795918366,11.0,-1.1588414616732505,0.24652081360371447,5.0,1.2,2.0,0.16666666666666666,0.054945054945054944,3.033333333333333,1.1150278293135436
yatBVTBMCSMp0wJluOCLzTFKMyP2,91.0,10.0,0.10989010989010989,15.0,-2.0856244214927746,0.037012657398062254,7.0,1.4285714285714286,3.0,0.3,0.0875,3.428571428571429,1.2534798534798535
u64Uf920g5VD9Byq26LT2rs5o4t1,107.0,14.0,0.1308411214953271,25.0,-0.14535355976469513,0.8844317291153845,12.0,1.1666666666666667,2.0,0.14285714285714285,0.13043478260869565,1.0952380952380951,1.0134579439252336
