participant_id,n_trials,log_likelihood,converged,focused_state_id,lapsed_state_id,focused_occupancy,lapsed_occupancy,p_focused_to_lapsed,p_lapsed_to_focused,p_focused_stay,p_lapsed_stay,focused_mean_rt,lapsed_mean_rt,focused_sd_rt,lapsed_sd_rt,rt_difference
GE4hogtdLdTFbNasENgtm6SO3hC3,67,-506.34127664029177,True,0,1,0.9253731343283582,0.07462686567164178,0.021011305029581113,0.4537319489007588,0.9789886949704188,0.5462680510992411,1649.9427717955205,3709.55310993036,393.9864527597009,678.1307604596249,2059.6103381348394
Qv0jhW3sqicqQvd7LfReAsI7nD73,77,-576.414244108014,True,0,1,0.8181818181818182,0.18181818181818182,0.10317528114304192,0.45277976927544983,0.8968247188569581,0.5472202307245503,918.742346139844,2464.734874778269,236.8145092354041,1064.523852693625,1545.992528638425
ORvIk1xRWIQmKuLVe6GXNouvAXx2,101,-853.4206226066015,True,1,0,0.7029702970297029,0.297029702970297,0.1279320259556128,0.29041964898094935,0.8720679740443873,0.7095803510190507,1659.2670962622462,4610.780367592861,450.3793591069642,2916.0269294353193,2951.5132713306148
80UJMJbCOMgs6YVpsMgXfYTzw6o2,71,-542.6544374439421,True,0,1,0.9859154929577465,0.014084507042253521,0.0,1.0,1.0,0.0,1312.4928571427772,8987.0,574.2323444196663,0.1,7674.507142857223
rUuJv5gl7dWVo7UPQWMx4bohxhK2,89,-725.34188318835,True,0,1,0.8089887640449438,0.19101123595505617,0.11474910169671283,0.4610453818572818,0.8852508983032871,0.5389546181427183,1517.5610247258085,3815.1871278544286,493.32112983395956,1421.2755176841483,2297.6261031286203
xyAILKfYP2M8GqAai11x6NT7IcP2,81,-632.0574047232944,True,0,1,0.8395061728395061,0.16049382716049382,0.12860711253101037,0.5627685807652409,0.8713928874689897,0.43723141923475906,1074.2768663022339,3209.82459508356,312.7484869934917,1615.465011113181,2135.547728781326
pcbRW89vVJcviD87V3uxyG4I9st2,71,-551.800873112789,True,0,1,0.7887323943661971,0.2112676056338028,0.18794185210954453,0.7044338639124111,0.8120581478904555,0.29556613608758886,1005.5797218020244,3076.6140657000847,266.0243890341894,1677.6011657400447,2071.0343438980603
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,98,-805.9858792752045,True,0,1,0.7653061224489796,0.23469387755102042,0.26879204502677045,0.8164139269741341,0.7312079549732295,0.18358607302586588,1275.3984162731424,4349.478368288675,329.3643645487897,3355.695921415726,3074.0799520155324
yatBVTBMCSMp0wJluOCLzTFKMyP2,91,-716.1062582655827,True,0,1,0.7582417582417582,0.24175824175824176,0.09294911686727536,0.34620641235014243,0.9070508831327248,0.6537935876498575,1241.3601051909018,3352.050170884132,338.58520016697315,1598.9282020005855,2110.6900656932303
u64Uf920g5VD9Byq26LT2rs5o4t1,107,-812.0384512207013,True,0,1,0.8691588785046729,0.1308411214953271,0.13376370594366788,0.747628757439098,0.8662362940563322,0.2523712425609021,1205.6843197861185,2853.0154623266053,280.2940511115968,1357.6192220258351,1647.3311425404868
