participantId,gender,age,ucla_total,pe_rate,accuracy,totalTrialCount,pes_ms,post_error_acc,cluster
xyAILKfYP2M8GqAai11x6NT7IcP2,남성,24,35.0,9.876543209876543,,81.0,1518.5357060849433,61.53846153846154,1
pcbRW89vVJcviD87V3uxyG4I9st2,남성,18,33.0,2.8169014084507045,,71.0,1420.5924242424855,100.0,1
u64Uf920g5VD9Byq26LT2rs5o4t1,남성,21,34.0,13.084112149532709,,107.0,833.9669530886886,70.58823529411765,1
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,남성,19,40.0,8.403361344537815,,119.0,717.6172976119569,82.35294117647058,1
ric6cNjG25XmZJCiKZDOxzeezao1,남성,19,44.0,18.0,,100.0,156.21908108114746,48.0,0
2h5FgHUEvBS1twD5DqbTIRrMm1f2,남성,23,65.0,13.131313131313133,,99.0,2203.475717702337,54.54545454545454,0
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,남성,21,38.0,10.975609756097562,,82.0,912.9474038633016,56.25,1
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,남성,24,64.0,10.144927536231885,,69.0,3338.514166631301,75.0,0
LliUMEIsrCVZ88YFQfevan2Og4z1,남성,19,28.0,13.402061855670103,,97.0,631.0076923076797,72.22222222222221,1
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,남성,19,54.0,15.873015873015872,,126.0,2251.2283132561856,42.85714285714285,0
wdppvL4tIkVlGjou6aYzzjlaZXB2,남성,18,44.0,23.4375,,128.0,181.2659102500629,24.324324324324326,0
DPvStUYSmohmXwFwaKRqHv89R3k1,남성,21,52.0,4.761904761904762,,63.0,1457.0847457431803,100.0,1
kR2rCtaPyPaj7YMizKUDn5xL2qx1,남성,19,53.0,11.904761904761903,,84.0,677.4814699792676,64.28571428571429,0
mwsliuPsLFhRFjtjQwYkqcCRDvi2,남성,21,49.0,9.722222222222223,,72.0,1684.98081958333,70.0,1
iKVZi0Oo96UrMBhPQMHWFcf55uA3,남성,19,33.0,5.88235294117647,,68.0,847.9745762711163,62.5,1
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,남성,18,34.0,8.450704225352112,,71.0,1246.6633064597845,100.0,1
ssPK6ISW0HerTGke9hznqJ2LpKu1,남성,20,41.0,9.63855421686747,,83.0,346.2939799467192,69.23076923076923,1
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,남성,19,40.0,8.860759493670885,,79.0,2556.317874396216,88.88888888888889,1
5zxa5CMLGQSSonWOXqXf0QNS3PH3,남성,19,54.0,8.045977011494253,,87.0,616.4149631052046,84.61538461538461,1
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,남성,29,30.0,12.087912087912088,,91.0,727.465714291164,50.0,1
WbOfW9KmUkPQK8o5hlHJnJFdpp92,남성,19,22.0,6.122448979591836,,98.0,663.1220588224776,58.82352941176471,1
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,남성,19,49.0,8.108108108108109,,74.0,815.3839682533568,70.0,1
cEIs6U87xfbSL5eFTXDK77MmvNf1,남성,19,62.0,10.679611650485436,,103.0,1387.7552326640418,62.5,0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,남성,19,49.0,11.904761904761903,,84.0,1111.5158385204973,64.28571428571429,0
xBGZhFOeypWnqzSQClkrwV9z2vF3,남성,22,43.0,10.256410256410255,,78.0,721.7317460317531,64.28571428571429,1
HyQM2xKwwuVfqidmRYF6TiRk90C2,남성,19,21.0,8.433734939759036,,83.0,1145.109722222305,80.0,1
iWsc4pghIEWOQUZKuQJMfe516UI3,남성,23,27.0,7.5,,80.0,1567.386764713548,81.81818181818183,1
jzdk8E3tVXTXIozlfK5oeEb7wWp2,남성,24,37.0,10.256410256410255,,78.0,32.58931158591008,75.0,1
pRQimOpZtsekBI2I1kbnD3pycmo1,남성,22,25.0,10.38961038961039,,77.0,396.1445665315832,46.15384615384615,1
HSggdq91WiQp16bOj7V3dABkcgk2,남성,22,44.0,7.865168539325842,,89.0,930.1961025565712,76.92307692307693,1
PLreonkqaMeFc0UqxKUelH44UQu1,남성,22,44.0,15.625,,96.0,2223.477210461555,68.18181818181817,0
