feature,coefficient,odds_ratio
ucla_total,-0.016115585085897194,0.9840135761881367
age,-0.052656092870318666,0.9487062232201222
pes_ms,-0.33258050090894137,0.7170709416778909
gender_male,-0.09212828212282069,0.9119881502648896
