Moderator,Outcome,Interaction β,p,N,Sig
WCST CV (Reactive),WCST PE Rate,0.006055164990040444,0.30744282874260065,78,
WCST Duration (Proactive),WCST PE Rate,-0.004703967131436863,0.4981392737384548,78,
