Variable,r,p,N,Sig
wcst_duration,0.06564899838774513,0.38531119586313994,177,
wcst_cv,0.029631908782930576,0.6954131103922591,177,
stroop_cv,0.036070551534264896,0.6336166878447936,177,
prp_cv,-0.02519203062817528,0.7428864870709647,172,
