Measure,Column,Total_M,Total_SD,Total_MSD,Male_M,Male_SD,Male_MSD,Female_M,Female_SD,Female_MSD,Alpha
Age (years),age,20.57075471698113,1.89778953388055,20.57 (1.90),21.10975609756097,2.119900402744184,21.11 (2.12),20.23076923076923,1.663742216627023,20.23 (1.66),
UCLA Loneliness,ucla_score,40.63207547169812,11.114932078212703,40.63 (11.11),38.073170731707314,11.674368344458545,38.07 (11.67),42.246153846153845,10.474081365029782,42.25 (10.47),0.9372248666683708
DASS-21 Depression,dass_depression,7.632075471698113,7.983187869704521,7.63 (7.98),6.146341463414634,7.973911088970253,6.15 (7.97),8.569230769230769,7.875916052578454,8.57 (7.88),0.8805357601370549
DASS-21 Anxiety,dass_anxiety,5.613207547169812,5.917394640475452,5.61 (5.92),4.804878048780488,6.276428614887912,4.80 (6.28),6.123076923076923,5.644528646171247,6.12 (5.64),0.7921900816948816
DASS-21 Stress,dass_stress,10.10377358490566,7.659123042970116,10.10 (7.66),9.073170731707316,8.304067853092388,9.07 (8.30),10.753846153846156,7.179926300567036,10.75 (7.18),0.8395595249527834
