outcome,n,B,SE_B,beta,F,p,delta_r2
Pre-exploitation RT,212,122.57286375788941,47.208931023060245,0.24132442808817853,6.741248439095176,0.010102879747590018,0.030895064775172565
Exploitation RT,212,27.14788712573,36.50672032974284,0.06873206108515617,0.5530016563049585,0.4579452518127297,0.0025061396848669037
Pre-exploitation - Exploitation,212,95.42497663215951,38.06728905943007,0.23488007430434835,6.283769193674156,0.012961576234058723,0.02926704599481078
