Outcome,r,R2_Step1,R2_Step2,b,SE,beta,p,Delta_R2,F_change,r_fmt,R2_Step1_fmt,R2_Step2_fmt,b_fmt,SE_fmt,beta_fmt,p_fmt,Delta_R2_fmt,F_change_fmt
Stroop Interference RT,0.0133671051759041,0.0232646837349929,0.0280964236532658,5.281991475672729,9.849498773086882,0.05065984860916503,0.5923533366232054,0.0013615312831867,0.2875855965982616,0.013,0.023,0.028,5.28,9.85,0.05,0.592,0.001,0.29
Interference RT slope,0.2524371607862727,0.0085706090273126,0.0332742252241843,22.665761849576548,5.77754972078103,0.3567236478385416,0.000119267156264,0.0675093070176046,15.39051878477185,0.252,0.009,0.033,22.67,5.78,0.36,< .001,0.068,15.39
WCST PE rate,-0.1125489234791619,0.0039437566083005,0.0300378524795712,-0.1351985619434571,0.5759192004514183,-0.022166783839806335,0.8146350254005271,0.0002606785049943,0.0551088094958864,-0.113,0.004,0.030,-0.14,0.58,-0.02,0.815,0.000,0.06
Confirmation RT,0.1451710895816396,0.0191954382131053,0.0237541841830521,136.8980950173201,52.729774815531066,0.24203007458994505,0.0101077585404066,0.0310769592558217,6.740358194431748,0.145,0.019,0.024,136.90,52.73,0.24,0.010,0.031,6.74
Exploitation RT,0.0920391406728898,0.0587912446916825,0.0739081873216995,33.69786653235643,36.99494213761181,0.08388477282422879,0.3634296369962091,0.0037330698361753,0.8296981216417475,0.092,0.059,0.074,33.70,36.99,0.08,0.363,0.004,0.83
Confirm-Exploit,0.1051130503116454,0.003295698809557,0.0076975321464825,103.20022848496372,40.38099243587168,0.24031913019701953,0.0113230096495452,0.0306391375277118,6.531415928122106,0.105,0.003,0.008,103.20,40.38,0.24,0.011,0.031,6.53
